"","kml_s_e","kml_e","kml_s","Lng","Lat","Lng_e","Lat_e","count"
"372","955_724",724,955,104.7306957,31.5035874,104.7353521,31.4806285,16
"373","955_726",726,955,104.7306957,31.5035874,104.7690864,31.4805528,11
"374","955_736",736,955,104.7306957,31.5035874,104.7301857,31.4812084,11
"375","955_821",821,955,104.7306957,31.5035874,104.7620381,31.4882639,22
"376","955_915",915,955,104.7306957,31.5035874,104.7343212,31.4966375,16
"377","955_927",927,955,104.7306957,31.5035874,104.7735466,31.4981568,23
"378","955_938",938,955,104.7306957,31.5035874,104.7328988,31.50017,16
"379","955_974",974,955,104.7306957,31.5035874,104.7358274,31.5067912,14
"380","971_291",291,971,104.772232,31.5061283,104.7321556,31.4547659,12
"381","971_523",523,971,104.772232,31.5061283,104.7723748,31.4656126,13
"382","971_653",653,971,104.772232,31.5061283,104.6860951,31.4738378,11
"383","971_971",971,971,104.772232,31.5061283,104.772232,31.5061283,11
"384","974_127",127,974,104.7358274,31.5067912,104.7413669,31.4384258,11
"385","974_135",135,974,104.7358274,31.5067912,104.7654496,31.4413548,14
"386","974_199",199,974,104.7358274,31.5067912,104.7601253,31.4498679,21
"387","974_291",291,974,104.7358274,31.5067912,104.7321556,31.4547659,25
"388","974_408",408,974,104.7358274,31.5067912,104.7531982,31.4604576,19
"389","974_487",487,974,104.7358274,31.5067912,104.7474158,31.4636577,14
"390","974_516",516,974,104.7358274,31.5067912,104.7406819,31.4655495,13
"391","974_517",517,974,104.7358274,31.5067912,104.7489154,31.4663021,11
"392","974_523",523,974,104.7358274,31.5067912,104.7723748,31.4656126,20
"393","974_617",617,974,104.7358274,31.5067912,104.7581004,31.4710907,12
"394","974_67",67,974,104.7358274,31.5067912,104.7722805,31.4250537,14
"395","974_974",974,974,104.7358274,31.5067912,104.7358274,31.5067912,34
