"","kml_s_e","kml_e","kml_s","Lng","Lat","Lng_e","Lat_e","count"
"86","440_476",476,440,104.7220286,31.4615387,104.7271958,31.4633226,11
"87","440_500",500,440,104.7220286,31.4615387,104.6209012,31.464642,13
"88","463_974",974,463,104.7627456,31.4627998,104.7358274,31.5067912,11
"89","476_135",135,476,104.7271958,31.4633226,104.7654496,31.4413548,12
"90","476_291",291,476,104.7271958,31.4633226,104.7321556,31.4547659,15
"91","476_351",351,476,104.7271958,31.4633226,104.6124199,31.4576314,26
"92","476_368",368,476,104.7271958,31.4633226,104.7070146,31.4584759,14
"93","476_389",389,476,104.7271958,31.4633226,104.6219992,31.4592982,14
"94","476_441",441,476,104.7271958,31.4633226,104.6443558,31.4617767,15
"95","476_476",476,476,104.7271958,31.4633226,104.7271958,31.4633226,13
"96","476_500",500,476,104.7271958,31.4633226,104.6209012,31.464642,11
"97","476_516",516,476,104.7271958,31.4633226,104.7406819,31.4655495,11
"98","476_540",540,476,104.7271958,31.4633226,104.7301992,31.4668558,12
"99","476_56",56,476,104.7271958,31.4633226,104.7634654,31.4220348,20
"100","476_566",566,476,104.7271958,31.4633226,104.6792753,31.4681151,13
"101","476_578",578,476,104.7271958,31.4633226,104.6596897,31.4688721,15
"102","476_655",655,476,104.7271958,31.4633226,104.7646589,31.4740551,11
"103","476_67",67,476,104.7271958,31.4633226,104.7722805,31.4250537,31
"104","476_927",927,476,104.7271958,31.4633226,104.7735466,31.4981568,37
"105","479_548",548,479,104.7527998,31.4642013,104.6856626,31.4673085,24
"106","500_368",368,500,104.6209012,31.464642,104.7070146,31.4584759,15
"107","500_500",500,500,104.6209012,31.464642,104.6209012,31.464642,21
"108","500_516",516,500,104.6209012,31.464642,104.7406819,31.4655495,17
"109","500_548",548,500,104.6209012,31.464642,104.6856626,31.4673085,19
"110","500_566",566,500,104.6209012,31.464642,104.6792753,31.4681151,18
"111","516_351",351,516,104.7406819,31.4655495,104.6124199,31.4576314,17
"112","516_389",389,516,104.7406819,31.4655495,104.6219992,31.4592982,19
"113","516_548",548,516,104.7406819,31.4655495,104.6856626,31.4673085,11
"114","516_566",566,516,104.7406819,31.4655495,104.6792753,31.4681151,14
"115","516_67",67,516,104.7406819,31.4655495,104.7722805,31.4250537,19
"116","517_566",566,517,104.7489154,31.4663021,104.6792753,31.4681151,12
"117","517_836",836,517,104.7489154,31.4663021,104.685367,31.4898035,11
"118","519_389",389,519,104.7429271,31.4654325,104.6219992,31.4592982,12
"119","523_523",523,523,104.7723748,31.4656126,104.7723748,31.4656126,22
"120","523_717",717,523,104.7723748,31.4656126,104.750537,31.4802843,27
"121","523_719",719,523,104.7723748,31.4656126,104.7383672,31.4803948,29
"122","523_724",724,523,104.7723748,31.4656126,104.7353521,31.4806285,24
"123","523_736",736,523,104.7723748,31.4656126,104.7301857,31.4812084,14
"124","523_811",811,523,104.7723748,31.4656126,104.7519713,31.4875978,12
"125","523_881",881,523,104.7723748,31.4656126,104.7051823,31.4937412,22
"126","523_899",899,523,104.7723748,31.4656126,104.6988677,31.4952719,20
"127","523_915",915,523,104.7723748,31.4656126,104.7343212,31.4966375,18
"128","523_974",974,523,104.7723748,31.4656126,104.7358274,31.5067912,31
"129","540_540",540,540,104.7301992,31.4668558,104.7301992,31.4668558,21
"130","540_653",653,540,104.7301992,31.4668558,104.6860951,31.4738378,11
"131","540_67",67,540,104.7301992,31.4668558,104.7722805,31.4250537,11
"132","540_927",927,540,104.7301992,31.4668558,104.7735466,31.4981568,11
"133","548_351",351,548,104.6856626,31.4673085,104.6124199,31.4576314,32
"134","548_389",389,548,104.6856626,31.4673085,104.6219992,31.4592982,14
"135","548_927",927,548,104.6856626,31.4673085,104.7735466,31.4981568,11
"136","56_135",135,56,104.7634654,31.4220348,104.7654496,31.4413548,18
"137","56_237",237,56,104.7634654,31.4220348,104.7523913,31.4520034,14
"138","56_260",260,56,104.7634654,31.4220348,104.7575349,31.4534645,13
"139","56_516",516,56,104.7634654,31.4220348,104.7406819,31.4655495,11
"140","56_548",548,56,104.7634654,31.4220348,104.6856626,31.4673085,11
"141","56_56",56,56,104.7634654,31.4220348,104.7634654,31.4220348,14
